Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ParcelCount,API_Command_java_lang_Runtime_exec,API_WebView_android_webkit_WebView_loadUrl,API_Database_android_database_sqlite_SQLiteDatabase_execSQL,API_Database_android_database_sqlite_SQLiteDatabase_getPath,API_Database_android_database_sqlite_SQLiteDatabase_insert,API_Database_android_database_sqlite_SQLiteDatabase_insertWithOnConflict,API_Database_android_database_sqlite_SQLiteDatabase_rawQuery,API_Database_android_database_sqlite_SQLiteDatabase_rawQueryWithFactory,API_Database_android_database_sqlite_SQLiteDatabase_updateWithOnConflict,API_IPC_android_content_ContextWrapper_sendBroadcast,API_IPC_android_content_ContextWrapper_startActivity,API_IPC_android_content_ContextWrapper_registerReceiver,API_Binder_android_app_ContextImpl_registerReceiver,API_Crypto_javax_crypto_spec_SecretKeySpec_$init,API_Crypto_javax_crypto_Cipher_doFinal,API_Crypto-Hash_java_security_MessageDigest_digest,API_Crypto-Hash_java_security_MessageDigest_update,API_DeviceInfo_android_telephony_TelephonyManager_getDeviceId,API_DeviceInfo_android_telephony_TelephonyManager_getSubscriberId,API_DeviceInfo_android_telephony_TelephonyManager_getLine1Number,API_DeviceInfo_android_net_wifi_WifiInfo_getBSSID,API_Network_java_net_URL_openConnection,API_DexClassLoader_dalvik_system_BaseDexClassLoader_findResource,API_DexClassLoader_dalvik_system_DexFile_loadClass,API_Base64_android_util_Base64_decode,API_Base64_android_util_Base64_encode,API_Base64_android_util_Base64_encodeToString,API_SystemManager_android_app_ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android_app_NotificationManager_notify,API_DeviceData_android_content_ContentResolver_query,API_DeviceData_android_content_ContentResolver_registerContentObserver,API_DeviceData_android_os_SystemProperties_get,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Logcat_debug,Logcat_info,Logcat_warning,Logcat_error,Logcat_verbose,Logcat_total,label
112873,40288,10640,60180,100084,42092,33169,23758,9410,20,42,0,18,10,56,0,0,36,36,0,6,0,66,65,3,3,97,61,23,16,4,0,2,0,0,20,14,12,0,0,0,84,34,2115,12,4720,17,1855,2476,1008,1960,1539,8838,2
51026,4664,12292,33992,98784,6592,17711,15105,2605,68,18,0,0,0,0,0,0,0,0,0,2,2,2,4,0,0,0,0,49,48,0,0,24,27,0,0,0,0,0,0,4,0,24,0,0,5520,92,1753,2843,2622,3909,736,11863,7
97686,25460,9864,55020,73844,25676,55993,52296,3696,6,21,0,0,0,0,0,0,0,0,0,0,0,16,32,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1523,2519,2967,1058,3288,11355,25
50955,4668,12144,33584,90120,6812,17432,14327,3104,34,12,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,35,34,0,0,17,21,0,0,0,0,0,0,6,0,17,0,0,3840,64,7560,1774,3910,3101,946,17291,7
98336,13808,10028,77972,61228,14108,35576,27553,8022,52,41,0,1,0,0,0,0,0,0,0,0,3,22,21,0,0,240,120,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,3623443,2920,104320,1671,2740,1487,1170,1743,2600,9740,20
80036,4656,10924,64936,85676,7444,13509,10882,2626,39,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3708,3713,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,40,1,780,13,2332,700,1769,1676,1539,8016,15
82845,8636,10756,58476,102936,11696,25804,17156,8647,83,31,15,0,0,0,0,0,0,0,0,0,0,8,16,4,21,119,78,26,4,0,4,0,13,0,8,38,0,0,0,0,8,4,54705,161,20365,178,1513,2029,458,1247,1364,6611,98
50334,4580,12116,33492,89380,6432,17407,14266,3140,34,12,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,27,26,0,0,13,16,0,0,0,0,0,0,4,0,13,0,0,2880,48,3199,4118,923,1682,2709,12631,7
153232,3840,10480,141548,93384,4000,28836,20945,7890,132,49,0,0,34,1,0,0,0,0,0,0,0,12,24,1186,760,9,9,16,32,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2069,2079,614,1464,1812,8038,68
65238,2976,10956,46652,81068,11224,25731,19914,5816,64,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,22,0,0,0,31,0,0,0,0,0,0,0,0,12,27651,201,29466,246,621,1980,1771,2806,3228,10406,25
61172,2316,10688,52180,98136,2336,28653,19554,9098,125,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,32,1,0,0,0,33,0,0,0,8,8,0,0,0,0,20,21442,95,32811,115,1519,1072,2833,2207,3439,11070,3
48582,3588,12232,33040,99560,5584,17416,14220,3195,34,14,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,47,46,0,0,23,27,0,0,0,0,0,0,6,0,23,0,0,5040,84,8535,4691,1802,973,3168,19169,7
106832,28580,9984,68548,57852,30112,36836,29324,7511,43,48,0,10,0,0,0,0,0,0,0,0,0,34,43,0,0,87,46,4,0,0,0,0,2,0,0,4,2,0,0,0,22,18,1359029,1292,121000,963,2342,2660,1523,1191,2021,9737,46
41369,4048,12524,29976,80908,4064,15221,10922,4298,5,21,0,0,0,0,0,0,0,0,0,28,0,36,72,0,0,92,92,63,0,0,0,0,0,0,0,0,0,0,0,0,18,29,0,0,0,0,1204,1611,3022,4291,4583,14711,2
28848,24,11160,26712,41104,28,8008,5770,2237,0,14,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,4,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1878,10,1313,12,1989,2513,804,4005,1510,10821,23
47885,2928,10760,34036,101636,4792,17621,14935,2685,68,16,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,45,44,0,0,22,25,0,0,0,0,0,0,4,0,22,0,0,4860,81,1120,3383,1727,4245,4337,14812,7
69610,28848,12444,29396,90676,29944,11764,8010,3753,8,28,0,43,7,94,0,0,72,72,0,14,0,246,246,191,189,204,122,54,39,24,0,1,0,0,553,180,153,0,0,0,246,64,12746,28,7934,32,1689,3090,4211,1444,3387,13821,2
50765,5116,12172,33592,89884,7008,17432,14266,3165,34,12,0,0,0,0,0,0,0,0,0,3,3,2,4,0,0,0,0,35,34,0,0,17,21,0,0,0,0,0,0,6,0,17,0,0,4020,67,905,1758,3886,2901,3130,12580,7
76899,21432,10844,41768,103596,21748,28675,24229,4445,18,35,0,1,0,0,0,0,0,0,0,0,0,91,114,100,99,131,357,0,0,0,7,14,2,0,230,61,60,0,0,44,60,53,257588,232,23329,179,1515,2607,2074,652,3775,10623,52
54269,13444,9344,26924,89032,13492,17061,14352,2708,32,18,0,1,7,12,1,2,2,8,1,95,0,27,29,5,5,22,19,16,4,0,3,1,7,0,2,5,5,0,0,0,24,21,8007,67,12483,88,2899,691,7411,1517,2083,14601,57
49217,2548,10896,39112,87144,2640,20553,15038,5514,32,34,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,8,26,0,0,1,20,0,0,0,0,0,0,0,0,5,77286,137,14682,146,2670,2438,2732,1579,837,10256,25
29705,3032,10448,17392,70012,3040,6374,3653,2720,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,1520,2355,3021,4842,12993,41
32022,2348,12964,24332,74472,2360,7913,4783,3129,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1486,2378,1729,4652,2445,12690,41
50673,4976,13144,33084,90956,6628,17432,14231,3200,34,14,0,0,0,0,0,0,0,0,0,3,3,2,4,0,0,0,0,37,36,0,0,18,22,0,0,0,0,0,0,6,0,18,0,0,4020,67,2571,1687,3038,3836,1070,12202,7
94883,37528,10568,44532,100196,39848,19376,16105,3270,20,41,0,26,4,107,0,0,75,75,0,9,0,191,191,148,146,81,67,76,52,22,0,2,0,0,667,229,204,0,0,0,142,72,8478,14,2115,15,1633,3079,2819,4466,1404,13401,2
41390,6984,10856,26988,98148,6996,14269,10935,3333,7,19,0,0,0,0,0,0,0,0,0,0,0,11,22,0,0,4,3,0,0,0,0,22,1,0,0,0,0,0,0,0,0,12,15682,66,7880,80,1203,2968,3973,1522,4271,13937,3
